Indicator Name,Indicator Code,Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Jordan,JOR,47.96899475,48.08092047,48.18240625,48.2707526,48.34244699,48.38953927,48.42165249,48.45633678,48.48882135,48.51948771,48.54913942,48.57748767,48.60466555,48.63038857,48.42131337,48.05245445,47.9188974,47.9575311,47.99583099,48.03401382,48.07207579,48.11127487,48.15203747,48.19259376,48.23185075
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Japan,JPN,50.99376862,51.02078161,51.0481398,51.07610932,51.10527608,51.13503672,51.1648556,51.19255485,51.2167522,51.23922691,51.26023984,51.27839194,51.29303568,51.30495962,51.31538781,51.32521711,51.33441576,51.34384492,51.35537699,51.36827068,51.38098763,51.38989806,51.39528585,51.40053352,51.40600782
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kazakhstan,KAZ,52.35316924,52.3889371,52.41771225,52.43969882,52.45468035,52.46874372,52.48116918,52.48906195,52.48267289,52.46385998,52.4356817,52.39678498,52.35337357,52.31339032,52.27227655,52.22641181,52.18224089,52.12958692,52.07433174,52.02556098,51.98027563,51.94719305,51.91618874,51.87596163,51.83162249
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kenya,KEN,50.44562965,50.42993548,50.4104091,50.38978093,50.36952809,50.34987231,50.3313282,50.31575004,50.30227706,50.29036876,50.28211463,50.27952405,50.28525294,50.29576585,50.30568377,50.31832548,50.33553684,50.34927269,50.36351843,50.38409872,50.39946263,50.40817316,50.42188361,50.43717469,50.44662501
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kyrgyz Republic,KGZ,51.31132747,51.28785524,51.26718277,51.25221793,51.24109048,51.22599785,51.20879303,51.19386443,51.17565158,51.15569137,51.13696959,51.11543619,51.09258517,51.06870622,51.04104162,51.01245748,50.98083172,50.95180549,50.92963688,50.91077456,50.89797131,50.89270233,50.89483455,50.90173276,50.9085278
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Cambodia,KHM,50.88980542,50.84917774,50.81049963,50.77479074,50.74136808,50.70625292,50.66911218,50.63272665,50.59767225,50.56129252,50.54043801,50.53527921,50.53063751,50.52588688,50.52221437,50.51977155,50.51648699,50.5145353,50.51164229,50.50932161,50.50968839,50.505609,50.49698225,50.50331462,50.51845324
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kiribati,KIR,50.79334166,50.82408304,50.87539075,50.92316017,50.92787003,50.93843532,50.97286174,51.00366696,51.01178454,51.02244965,51.03871844,51.07273485,51.11539897,51.15931122,51.20950305,51.26146889,51.30283531,51.33276518,51.36089463,51.38187975,51.39285743,51.3731289,51.32920527,51.2748415,51.20847845
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,St. Kitts and Nevis,KNA,50.40044618,50.34425112,50.29791676,50.30693412,50.35644289,50.41863461,50.48047084,50.55041174,50.62214187,50.69132242,50.76555429,50.8258971,50.86063765,50.89362415,50.9535872,51.03057189,51.11948106,51.20950866,51.30271006,51.39130253,51.4797116,51.57214223,51.65525354,51.71538284,51.76630719
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Korea, Rep.",KOR,49.74678015,49.74737752,49.77332311,49.82291247,49.87311037,49.92585478,49.97794823,50.01992847,50.05408373,50.08891575,50.12438354,50.15174633,50.13174326,50.07425024,50.01911744,49.96612507,49.91989611,49.91663611,49.94934058,49.98156236,50.01438214,50.04011018,50.05809651,50.07806884,50.10095095
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kuwait,KWT,41.6116845,41.45385216,41.30003203,41.1483742,40.99702785,40.84479965,40.95234729,41.39791293,41.89508487,42.33834918,42.73177013,43.07042709,43.10841093,42.9037875,42.7195478,42.16314191,40.15794848,39.16115892,39.19970016,38.48213593,38.34360857,38.74339402,39.04410564,39.18893816,39.29850482
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Lao PDR,LAO,49.81335402,49.80712975,49.80342254,49.80386547,49.8072003,49.81549598,49.81088234,49.78697886,49.76074876,49.73434046,49.70723588,49.68131159,49.65485705,49.62614478,49.5975907,49.57194655,49.56238888,49.56798822,49.57346593,49.57690395,49.58154079,49.58841566,49.59534991,49.60234279,49.61017341
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Lebanon,LBN,50.54667978,50.52316299,50.50170874,50.48472271,50.46922099,50.45382342,50.44065919,50.43732192,50.43737452,50.42938138,50.4169852,50.40089675,50.38142292,50.35971973,50.33766514,50.3161447,50.40250416,50.60804948,50.83114921,51.07131952,51.32879169,51.4688086,51.48095771,51.5030496,51.53180934
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Liberia,LBR,50.79299419,50.78411895,50.76836702,50.74908539,50.73828923,50.72496026,50.69760507,50.66642125,50.63252531,50.59693907,50.56214159,50.52863763,50.48874114,50.45224321,50.42320252,50.39407903,50.36642009,50.33993137,50.31320942,50.28861468,50.26482918,50.24253162,50.22210815,50.20062493,50.17904808
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Libya,LBY,47.15055245,47.3719589,47.7341944,48.08766391,48.43147878,48.763117,49.07788405,49.22610674,49.21288983,49.19126513,49.17552004,49.16794363,49.12403291,49.09049093,49.11668258,49.15278781,49.20443103,49.25852361,49.28782312,49.29870405,49.32307194,49.35394688,49.37835519,49.39974379,49.42574373
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,St. Lucia,LCA,50.58133657,50.57617555,50.56104213,50.51885364,50.46704325,50.41859729,50.37185735,50.33038986,50.28355162,50.22719723,50.17149121,50.1389417,50.13506056,50.14671565,50.16956167,50.20022425,50.23373932,50.27010481,50.3107308,50.35359327,50.39729426,50.44215201,50.49345676,50.54515532,50.59167494
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Liechtenstein,LIE,50.71592825,50.77211894,50.78799137,50.78206156,50.75588235,50.72594752,50.72392567,50.71225888,50.6799431,50.63981243,50.58724597,50.55391638,50.53469286,50.51088892,50.49448459,50.46096614,50.41895329,50.37889867,50.33914857,50.33917393,50.36380645,50.40251832,50.42649658,50.41065934,50.37894099
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Sri Lanka,LKA,50.16041157,50.22290516,50.31416827,50.43154081,50.54580644,50.65409277,50.75627739,50.86063374,50.97176579,51.08791474,51.21005628,51.32811159,51.43179377,51.50376024,51.5518256,51.59731249,51.63772537,51.67587268,51.71202725,51.74423826,51.77357487,51.80221541,51.82160688,51.83821396,51.86029201
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Lesotho,LSO,51.08680336,51.09379925,51.0948635,51.09339816,51.09285861,51.0944986,51.09900557,51.1093799,51.07758393,51.03297521,51.00850152,50.97004222,50.92573553,50.87627597,50.82878522,50.78735535,50.75540908,50.72961445,50.70701096,50.68700561,50.66922706,50.65946497,50.65874657,50.66858933,50.68376934
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Lithuania,LTU,53.46788503,53.53217561,53.60499665,53.68028718,53.74981807,53.81396725,53.87870817,53.94350531,54.00795375,54.05222341,54.05940426,54.04258464,54.00487387,53.94929915,53.87995928,53.79840644,53.70273959,53.59970249,53.48692524,53.36626186,53.25215166,53.15340711,53.07133904,53.03152119,53.01782109
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Luxembourg,LUX,50.65808934,50.67190355,50.70186969,50.68612039,50.6268957,50.53955106,50.49090049,50.4616811,50.44053781,50.39712669,50.32297717,50.25716371,50.16325554,50.05493936,49.97274733,49.91916471,49.8510734,49.78940638,49.75657532,49.72405591,49.70248704,49.68234404,49.67066622,49.6696258,49.66812673
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Latvia,LVA,54.32993825,54.35952736,54.38671374,54.414688,54.42902584,54.43472621,54.45049318,54.46703205,54.47188097,54.4693761,54.45859288,54.43848054,54.41473991,54.37638413,54.31831674,54.25613327,54.18465779,54.10129133,54.0175726,53.93365468,53.84943297,53.76457788,53.68006835,53.61524134,53.56988894
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Macao SAR, China",MAC,51.88006148,51.94653342,52.00058298,52.02561907,52.02936872,52.03152699,52.03358854,52.03890305,52.04529137,52.04030712,52.03132107,52.02611893,52.04788766,52.14031018,52.27343969,52.40173661,52.52349087,52.6375166,52.74307127,52.84036185,52.93368673,53.02927916,53.06106696,53.07896796,53.1479843
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,St. Martin (French part),MAF,51.02924499,51.20229652,51.37065192,51.53080873,51.68655454,51.83350154,51.98493364,52.14580347,52.28595179,52.42114741,52.54345179,52.61670964,52.61072902,52.57869317,52.53795,52.46873316,52.43003998,52.420212,52.42346939,52.44003309,52.45010718,52.45599484,52.45711782,52.46767953,52.47997007
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Morocco,MAR,50.0159687,49.99315868,49.97068278,49.95003893,49.93196852,49.92647285,49.92017587,49.89966926,49.87630085,49.85151253,49.82506409,49.79904583,49.77561945,49.75521982,49.73662955,49.71819143,49.69904377,49.68267251,49.66958703,49.65607275,49.64306538,49.64411455,49.65646781,49.67061083,49.68828525
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Monaco,MCO,51.44779898,51.35992607,51.32536062,51.30920768,51.29347692,51.28427845,51.27096232,51.25425635,51.23652704,51.22089009,51.19903707,51.15136536,51.08557961,51.01729107,50.96683133,50.9360288,50.91947769,50.94008794,50.98261527,51.0059683,51.00718259,50.99127891,50.9840266,50.99125284,51.00972532
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Moldova,MDA,52.66497798,52.64545616,52.63660216,52.63106122,52.62636719,52.63339836,52.62999134,52.60475689,52.57798678,52.5481964,52.52087483,52.49873171,52.48233303,52.47247726,52.46586449,52.455355,52.44469071,52.44020151,52.43942316,52.44836062,52.46627181,52.49440248,52.53198916,52.38940103,52.30480472
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Madagascar,MDG,49.75594189,49.75636748,49.75431285,49.75252055,49.75248684,49.75597199,49.76120641,49.76574781,49.77262687,49.77963155,49.78524032,49.79096503,49.79779542,49.80554065,49.81540459,49.82573075,49.83294376,49.83956319,49.84668436,49.85376701,49.8620898,49.87303357,49.88549627,49.89746963,49.90821656
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Maldives,MDV,48.3501192,48.35030636,48.36317189,48.37144695,48.36992726,48.36248697,48.35416816,47.99730281,47.22569096,46.40810014,45.63928753,44.91599253,44.23539152,43.58864527,42.97553453,42.61574418,42.49234358,42.38484366,42.29386888,42.2235063,42.19635764,42.24338015,42.32774706,42.47356273,42.69136945
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Mexico,MEX,51.03713912,51.05918519,51.06807345,51.06244006,51.05641166,51.05022653,51.04502741,51.04194073,51.04075859,51.04203111,51.04549751,51.0484025,51.04525841,51.0399819,51.03800058,51.03791276,51.04050984,51.04508693,51.05260486,51.06582239,51.08360165,51.12041192,51.18103498,51.22122206,51.23499241
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Marshall Islands,MHL,48.69784894,48.70537032,48.71629941,48.72284204,48.73102967,48.74437402,48.75867273,48.7732438,48.7804878,48.79775531,48.81607673,48.78875243,48.75875479,48.76348103,48.77122605,48.78319681,48.79781421,48.81334189,48.82700744,48.83776555,48.86201037,48.88858176,48.91082045,48.94512738,48.9832365
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,North Macedonia,MKD,49.50923471,49.66642721,49.82200115,49.91221642,49.93124566,49.9459023,49.96098452,49.9776798,49.99280053,50.00462558,50.01662849,50.02984963,50.04227268,50.05210819,50.06224387,50.07369528,50.08320833,50.09292976,50.10163453,50.10899029,50.11593169,50.12557601,50.14110957,50.15635755,50.16716379
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Mali,MLI,49.56891518,49.54364233,49.52296409,49.50928915,49.50133141,49.49675717,49.49419034,49.49242638,49.49057987,49.48811146,49.48546279,49.48368494,49.48275327,49.48108311,49.48133775,49.48364312,49.48595496,49.48740398,49.48839167,49.49169015,49.49498294,49.49906333,49.50580879,49.51303002,49.51951382
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Malta,MLT,50.32968587,50.31937918,50.32537529,50.32900996,50.33999395,50.35518765,50.37517552,50.40065954,50.41897103,50.41763324,50.39277978,50.3289513,50.2258181,50.08571621,49.91189075,49.71071205,49.48103176,49.22696999,48.96526986,48.70724553,48.44778461,48.20862391,47.98727285,47.86999846,47.8537147
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Myanmar,MMR,49.98586863,50.00238261,50.01831366,50.03341851,50.04810621,50.06203837,50.0740553,50.0832781,50.08944354,50.07803694,50.06763936,50.0752202,50.08421408,50.09511594,50.10571522,50.11688105,50.12925096,50.14199107,50.15479837,50.16845209,50.18249173,50.19733562,50.21631254,50.23456742,50.24924055
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Montenegro,MNE,51.40447798,51.44554762,51.48444473,51.52630556,51.55854897,51.54653029,51.50037527,51.45278202,51.40404765,51.36175186,51.32481598,51.29594767,51.28413329,51.26506395,51.2445855,51.24074956,51.23650164,51.2306084,51.23189941,51.23326286,51.23969695,51.25713777,51.28109974,51.30636823,51.31663168
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Mongolia,MNG,50.38781332,50.37240221,50.32720605,50.29501523,50.27669888,50.26550967,50.25603154,50.24565694,50.23151675,50.21380948,50.19456537,50.18083122,50.19752633,50.23498137,50.26358864,50.28253531,50.29454433,50.30181,50.30413142,50.30538962,50.31307716,50.33613764,50.3712906,50.40595981,50.43892692
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Northern Mariana Islands,MNP,52.24628461,52.43720282,52.17856289,51.81306861,51.4439248,51.07096164,50.68018834,50.25734181,49.79698652,49.27705224,48.68725463,48.03372345,47.60091394,47.43215111,47.26798489,47.1112311,46.95616726,46.80538987,46.65773029,46.51916349,46.38573549,46.29439168,46.24805481,46.24730076,46.28685035
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Mozambique,MOZ,51.25345392,51.28505747,51.30705621,51.3189768,51.3248463,51.32348969,51.32062488,51.31871256,51.31275736,51.3117144,51.31424196,51.30295618,51.27384738,51.23360952,51.18735425,51.13908127,51.09262121,51.03632435,50.98805748,50.9687846,50.96088751,50.94880439,50.93934072,50.93584322,50.92634074
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Mauritania,MRT,49.91751924,49.91085353,49.96312218,50.06487217,50.15717959,50.24582778,50.32921032,50.40495205,50.47172863,50.59471085,50.7699355,50.93036593,51.07323574,51.19818884,51.24122386,51.21139454,51.18148507,51.15217837,51.12320508,51.09475891,51.06742956,51.04218998,51.01621374,50.98902292,50.96192897
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Mauritius,MUS,49.99763567,50.04679546,50.0842262,50.10770099,50.1314455,50.15539276,50.18107417,50.2088527,50.24083414,50.2767143,50.31323543,50.34675415,50.37543655,50.40019554,50.42461751,50.45108284,50.47763103,50.50478742,50.53296374,50.55987389,50.58748927,50.61965068,50.65527767,50.69124389,50.72688087
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Malawi,MWI,51.24964051,51.33661348,51.40580536,51.46765692,51.52521537,51.57843527,51.62731051,51.66996016,51.69804845,51.68651714,51.64664046,51.6077199,51.57280154,51.54269064,51.5167046,51.49651966,51.47768969,51.45775871,51.43952293,51.42240399,51.40627424,51.3922261,51.37795151,51.36139762,51.34426164
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Malaysia,MYS,49.36559664,49.30798448,49.19291765,49.08417519,48.98370863,48.89051135,48.80406747,48.72391554,48.64711786,48.57371393,48.50421041,48.49066592,48.52984668,48.56748158,48.6025877,48.63579612,48.66910193,48.70378233,48.73870576,48.77254183,48.80498183,48.83682054,48.86937683,48.90176477,48.93322287
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Namibia,NAM,51.57649792,51.58682037,51.58376257,51.56616936,51.54887297,51.54103885,51.53925512,51.54337301,51.55491546,51.57096802,51.58877113,51.60300885,51.61559601,51.6309799,51.64703267,51.65976297,51.66968648,51.68028779,51.69187671,51.70355159,51.71434831,51.72307398,51.73544978,51.75079041,51.7599836
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,New Caledonia,NCL,49.19398668,49.28612376,49.37407904,49.45767994,49.53448239,49.59836412,49.56574888,49.4852118,49.44639828,49.4098634,49.3937177,49.42622386,49.48273208,49.53833905,49.59224875,49.65063854,49.72900591,49.8195582,49.90873891,49.9985959,50.08795475,50.15904163,50.22168172,50.2690119,50.2923298
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Niger,NER,49.66689576,49.63282517,49.59860133,49.56482619,49.5306644,49.49994707,49.47462043,49.45178504,49.43136514,49.41249776,49.39388942,49.37604306,49.35976229,49.34423621,49.32991387,49.31767033,49.3091855,49.3031723,49.29691992,49.28955314,49.28310505,49.27856865,49.2762206,49.27734025,49.27997416
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Nigeria,NGA,49.74626921,49.73758828,49.72699906,49.71657322,49.70931409,49.70263208,49.69725901,49.69076302,49.68043892,49.66679049,49.6499637,49.6334147,49.61757816,49.60262808,49.58914587,49.57627764,49.56219568,49.54495762,49.52712101,49.51039914,49.49406233,49.48183894,49.47219095,49.46118584,49.45015705
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Nicaragua,NIC,50.63128258,50.64685856,50.66392388,50.6821251,50.7011378,50.72049561,50.73034559,50.73073926,50.73089333,50.73092249,50.73093292,50.73070259,50.73019963,50.72943735,50.72846444,50.72717597,50.72533602,50.72256694,50.7190922,50.7159591,50.71472904,50.71937915,50.72461441,50.7254772,50.72613893
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Netherlands,NLD,50.54433879,50.53505741,50.52765562,50.52027646,50.5149781,50.51352383,50.51406573,50.51345191,50.51350014,50.5108874,50.50533956,50.49947593,50.48756181,50.47145124,50.45476018,50.43677684,50.41630218,50.39434425,50.37152475,50.34953635,50.33039875,50.31748728,50.31053562,50.29758004,50.27856548
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Norway,NOR,50.50648321,50.47321407,50.44870234,50.44193619,50.43462813,50.42230684,50.40291421,50.35331887,50.2515831,50.14154938,50.07207199,50.01718905,49.93329041,49.83881431,49.77205753,49.71942943,49.67202635,49.63615635,49.61583297,49.60885263,49.59060662,49.56876962,49.5548879,49.54116606,49.52946098
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Nepal,NPL,49.43922205,49.51994137,49.60745223,49.71527912,49.84854908,49.9981599,50.16679405,50.35429165,50.55499145,50.76138856,50.97236495,51.18072532,51.40518555,51.65854186,51.92058303,52.15594536,52.32636342,52.40881705,52.43375663,52.45269956,52.46957461,52.36423155,52.1525911,52.05431658,52.0582595
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Nauru,NRU,48.44457286,48.40512672,48.37402297,48.41078157,48.49187935,48.56313498,48.6528397,48.78570041,48.88477647,48.97002831,49.01788332,49.01865052,48.96431003,48.93718882,48.97138582,48.99451554,48.9852481,48.99886334,49.04126006,49.05233143,49.08506429,49.1270808,49.16473503,49.2027155,49.24100156
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,New Zealand,NZL,50.85076434,50.90834199,50.945925,50.95441809,50.95666827,50.97670927,51.01187312,51.04658446,51.07232179,51.08403543,51.08701462,51.09347225,51.10311647,51.10584715,51.07809117,51.01879737,50.95353756,50.89129773,50.83402651,50.73743533,50.56031074,50.44878291,50.43868806,50.43052575,50.4232704
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Oman,OMN,42.45602352,42.67824335,42.89266684,43.09945795,43.28651916,43.24668723,43.00399333,42.7706804,42.54657098,42.33214436,42.12865292,40.70253311,38.45821627,36.63951506,35.55755264,35.36541717,35.24460754,34.82741293,34.80820828,35.42128643,36.45777932,37.91465376,38.90530434,39.13215442,39.30325313
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Pakistan,PAK,48.31725906,48.34093913,48.36462651,48.37869473,48.388676,48.40302488,48.41949542,48.44153914,48.47093647,48.50501733,48.5422128,48.58052396,48.61751453,48.65035885,48.68028919,48.70868428,48.81543949,49.00147777,49.16200139,49.28431579,49.38717233,49.46422141,49.5182436,49.55541202,49.57844097
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Panama,PAN,49.74880399,49.75842272,49.76733276,49.77542382,49.78306567,49.79069229,49.79878204,49.8081235,49.81926872,49.83243097,49.8468959,49.86175415,49.8759988,49.88867767,49.89928186,49.90813345,49.91583481,49.92278339,49.92979844,49.93790296,49.9471711,49.96106554,49.97955768,49.99726669,50.01055261
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Peru,PER,50.14290781,50.13826402,50.1290343,50.11521885,50.0979733,50.07843827,50.05701264,50.03445606,50.01221137,50.052303,50.15021376,50.23710234,50.30909276,50.36760004,50.41457869,50.44565368,50.45671765,50.44422151,50.4324534,50.43482562,50.43944893,50.45922871,50.48234681,50.4925434,50.49848019
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Philippines,PHL,49.47545717,49.46732944,49.45219711,49.43609181,49.42262103,49.41059659,49.39776087,49.3849588,49.38331397,49.40527872,49.4411183,49.45694535,49.44185889,49.41689892,49.39306434,49.37103653,49.34619667,49.31902723,49.29519106,49.27455978,49.25645495,49.24017464,49.22963078,49.22137313,49.21152995
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Palau,PLW,45.51083591,45.41721586,45.51139802,45.67024331,45.84004024,46.03405837,46.21552115,46.35812223,46.51450997,46.65480054,46.8129183,46.97950378,47.16008772,47.34202608,47.26762145,46.93751405,46.8641115,47.05882353,47.24449179,47.44738021,47.65014512,47.8243935,47.95272969,48.06978676,48.16701739
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Papua New Guinea,PNG,47.71016509,47.77198833,47.8086384,47.82398115,47.83970724,47.8561983,47.87219768,47.88491487,47.89463068,47.90673506,47.92304274,47.93952318,47.96202257,47.99274158,48.02657215,48.06205653,48.10082129,48.14251758,48.18336033,48.22326652,48.26543104,48.31127098,48.36005294,48.41259442,48.4667613
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Poland,POL,51.48224391,51.44988118,51.40879638,51.42567913,51.4422797,51.45956676,51.47883351,51.50344984,51.53124949,51.55206716,51.56233445,51.56793524,51.57511693,51.58319524,51.58963113,51.594158,51.59885525,51.60522341,51.60969825,51.61116829,51.61315253,51.62374065,51.64331863,51.5879173,51.54427793
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Puerto Rico,PRI,51.83455093,51.8539064,51.87231334,51.89174613,51.91213051,51.93373813,51.95720261,51.98215299,52.0081368,52.03569069,52.06420859,52.09606334,52.13150671,52.16856917,52.20856438,52.25339255,52.30582715,52.36720521,52.43553366,52.51484589,52.60219983,52.68804156,52.76499465,52.83062667,52.8891389
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Korea, Dem. People's Rep.",PRK,51.33751224,51.30740672,51.27906313,51.25300089,51.23112483,51.21225875,51.19430818,51.177642,51.16203859,51.14655671,51.12921261,51.10635456,51.07651215,51.04029409,50.99818137,50.95078506,50.89557513,50.83597382,50.77687336,50.71813882,50.65945483,50.60105808,50.545087,50.49709591,50.45757547
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Portugal,PRT,51.80022337,51.7735427,51.75064278,51.77529026,51.82719101,51.86873865,51.90606762,51.94173491,51.98162405,52.03865245,52.10869859,52.17386459,52.24693715,52.32813151,52.4119992,52.50114043,52.5768576,52.62635234,52.67453017,52.74420824,52.79148347,52.80848328,52.82133716,52.81635967,52.80100082
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Paraguay,PRY,49.45976258,49.47118546,49.48342534,49.49823248,49.51812486,49.54107251,49.56310876,49.58388704,49.60314983,49.62057682,49.63674299,49.65179671,49.66549103,49.67805228,49.68975891,49.70120943,49.71310872,49.72566529,49.73836439,49.75071888,49.76384474,49.77886124,49.80062797,49.8265677,49.84493241
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,West Bank and Gaza,PSE,49.61724245,49.63493096,49.6783669,49.75177414,49.83245622,49.9100466,49.97135146,50.01667738,50.05239548,50.07858081,50.10132333,50.12366373,50.14448067,50.16470447,50.18160612,50.20307158,50.21979595,50.22527955,50.21401007,50.18862577,50.16445764,50.14104273,50.12218042,50.1063414,50.09018419
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,French Polynesia,PYF,48.27020391,48.34394067,48.41461837,48.47744629,48.51979496,48.54641151,48.57116506,48.60149654,48.64978539,48.70757562,48.76064092,48.81636997,48.87140028,48.92631829,48.98830685,49.05320606,49.11425115,49.17541332,49.22931122,49.27488021,49.31952475,49.36671966,49.42078465,49.45980626,49.48036727
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Qatar,QAT,32.99157674,32.83942552,32.70843553,32.62290623,32.56230587,32.8092161,31.73427908,28.31990227,25.20778996,23.56750125,23.39421738,24.25071666,25.12461402,25.73717242,25.94943456,25.4071751,24.74106188,24.64720947,25.08394011,25.73928375,26.76295358,27.3510398,27.32502925,27.4899986,27.68217094
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Romania,ROU,51.51432639,51.55857634,51.60323228,51.62717565,51.62117132,51.60489647,51.58630671,51.57036302,51.56040017,51.55854291,51.56502503,51.57401612,51.57803661,51.57961532,51.58218061,51.58343467,51.57908798,51.57072849,51.57061683,51.5804352,51.59399783,51.62109548,51.65196476,51.62848645,51.6040417
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Russian Federation,RUS,53.26936072,53.29721598,53.34322104,53.39848505,53.46718532,53.54872876,53.63532873,53.7085795,53.74755796,53.76485528,53.77004551,53.76034471,53.73749561,53.7068486,53.67391646,53.64626499,53.62602538,53.60732335,53.587329,53.56761668,53.55012271,53.54730549,53.55521747,53.55752754,53.55468468
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Rwanda,RWA,51.74266788,51.85834407,51.97163987,52.04842011,52.02587724,51.94621657,51.87375246,51.80887601,51.74996388,51.69640225,51.64766859,51.60330782,51.56385614,51.51685363,51.45887662,51.40454051,51.35448815,51.30749158,51.264319,51.22157154,51.1797559,51.14127391,51.10463703,51.06926202,51.03642274
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Saudi Arabia,SAU,42.82807052,42.83647347,42.84219604,42.85529395,42.88922993,42.98954247,43.02630205,42.94937491,42.86617368,42.77806245,42.68982116,42.65894971,42.69994191,42.75278172,42.79668341,42.83634989,42.67421333,42.26973567,42.00991357,41.92867164,41.84308351,41.97630104,42.2363915,42.37870384,42.4956759
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Sudan,SDN,49.65571724,49.68666789,49.71572056,49.74418503,49.77478253,49.81502555,49.85995026,49.88996131,49.90652,49.92205423,49.93502671,49.94412111,49.95194311,49.96101797,49.97294579,49.98665387,49.99712872,50.00450134,50.01035157,50.01506581,50.01944042,50.02432467,50.03040265,50.03647209,50.04164293
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Senegal,SEN,50.6391369,50.67469666,50.70336396,50.72493235,50.74362902,50.7609015,50.77505065,50.78833747,50.80201099,50.81613812,50.83036703,50.84473646,50.85931991,50.87402479,50.89073158,50.90191283,50.90413669,50.90202555,50.89503465,50.88411753,50.87353549,50.85868198,50.8372717,50.82107769,50.81118717
